id,vote_type_id,creation_timestrmpz
105264738,9,2016-01-13 00:00:00+00:00
85264795,15,2015-03-15 00:00:00+00:00
31344618,15,2012-08-01 00:00:00+00:00
187706530,15,2019-05-29 00:00:00+00:00
200146189,15,2019-12-21 00:00:00+00:00
65709894,11,2014-04-03 00:00:00+00:00
175466936,11,2018-11-19 00:00:00+00:00
86821589,15,2015-04-10 00:00:00+00:00
117077527,11,2016-06-30 00:00:00+00:00
253679255,15,2022-06-29 00:00:00+00:00
116580633,15,2016-06-22 00:00:00+00:00
137246570,15,2017-04-23 00:00:00+00:00
161259988,9,2018-04-13 00:00:00+00:00
36299045,15,2012-11-11 00:00:00+00:00
7951044,8,2010-06-04 00:00:00+00:00
220327156,11,2020-11-05 00:00:00+00:00
208061681,11,2020-04-29 00:00:00+00:00
160035948,9,2018-03-27 00:00:00+00:00
195627186,11,2019-10-09 00:00:00+00:00
79534225,11,2014-12-04 00:00:00+00:00
169124018,12,2018-08-11 00:00:00+00:00
93166407,11,2015-07-13 00:00:00+00:00
199639695,15,2019-12-12 00:00:00+00:00
43733102,11,2013-03-22 00:00:00+00:00
252893378,15,2022-06-14 00:00:00+00:00
143793312,15,2017-07-28 00:00:00+00:00
87040054,15,2015-04-14 00:00:00+00:00
227064186,15,2021-02-25 00:00:00+00:00
214483327,15,2020-07-30 00:00:00+00:00
155925062,11,2018-01-27 00:00:00+00:00
202061026,8,2020-01-25 00:00:00+00:00
38061511,15,2012-12-13 00:00:00+00:00
58007758,9,2013-11-26 00:00:00+00:00
91861615,15,2015-06-23 00:00:00+00:00
228138894,11,2021-03-15 00:00:00+00:00
162771929,8,2018-05-05 00:00:00+00:00
50466373,11,2013-07-15 00:00:00+00:00
202095279,15,2020-01-26 00:00:00+00:00
72228914,15,2014-07-25 00:00:00+00:00
85385770,11,2015-03-17 00:00:00+00:00
207503918,9,2020-04-21 00:00:00+00:00
53172367,8,2013-09-01 00:00:00+00:00
99504309,15,2015-10-16 00:00:00+00:00
165074710,15,2018-06-09 00:00:00+00:00
180497843,15,2019-02-08 00:00:00+00:00
181019666,15,2019-02-15 00:00:00+00:00
138222491,11,2017-05-08 00:00:00+00:00
52653025,15,2013-08-22 00:00:00+00:00
29937661,11,2012-06-30 00:00:00+00:00
123903054,9,2016-10-10 00:00:00+00:00
25117791,11,2012-03-05 00:00:00+00:00
18111405,15,2011-08-12 00:00:00+00:00
64124980,15,2014-03-09 00:00:00+00:00
213110037,15,2020-07-10 00:00:00+00:00
71532063,15,2014-07-13 00:00:00+00:00
29633141,15,2012-06-23 00:00:00+00:00
142459998,11,2017-07-10 00:00:00+00:00
251706531,12,2022-05-21 00:00:00+00:00
44407077,15,2013-04-03 00:00:00+00:00
64779396,15,2014-03-19 00:00:00+00:00
253203361,8,2022-06-20 00:00:00+00:00
90363304,15,2015-06-01 00:00:00+00:00
99078715,8,2015-10-10 00:00:00+00:00
15294597,15,2011-05-23 00:00:00+00:00
10685691,8,2010-11-07 00:00:00+00:00
251855166,15,2022-05-24 00:00:00+00:00
228179130,11,2021-03-15 00:00:00+00:00
16769929,15,2011-06-29 00:00:00+00:00
43679834,15,2013-03-22 00:00:00+00:00
73616392,11,2014-08-19 00:00:00+00:00
118612110,15,2016-07-23 00:00:00+00:00
234546274,9,2021-07-01 00:00:00+00:00
155904709,15,2018-01-26 00:00:00+00:00
91258625,11,2015-06-14 00:00:00+00:00
248515843,15,2022-03-20 00:00:00+00:00
215319498,15,2020-08-13 00:00:00+00:00
60126994,15,2014-01-05 00:00:00+00:00
207859146,9,2020-04-27 00:00:00+00:00
36536484,15,2012-11-15 00:00:00+00:00
45570289,15,2013-04-22 00:00:00+00:00
136541338,9,2017-04-12 00:00:00+00:00
111422047,15,2016-04-08 00:00:00+00:00
104435332,4,2016-01-01 00:00:00+00:00
10901850,8,2010-11-18 00:00:00+00:00
249943596,11,2022-04-16 00:00:00+00:00
91302452,15,2015-06-15 00:00:00+00:00
193465759,9,2019-09-02 00:00:00+00:00
92013766,15,2015-06-25 00:00:00+00:00
31745950,15,2012-08-10 00:00:00+00:00
213971079,12,2020-07-23 00:00:00+00:00
235765222,12,2021-07-24 00:00:00+00:00
71299451,8,2014-07-09 00:00:00+00:00
109970333,15,2016-03-18 00:00:00+00:00
109729198,15,2016-03-15 00:00:00+00:00
141958365,15,2017-07-02 00:00:00+00:00
142829324,15,2017-07-14 00:00:00+00:00
219424189,9,2020-10-21 00:00:00+00:00
46444914,15,2013-05-07 00:00:00+00:00
117699277,15,2016-07-09 00:00:00+00:00
59093136,11,2013-12-16 00:00:00+00:00
52435816,15,2013-08-19 00:00:00+00:00
135635360,11,2017-03-30 00:00:00+00:00
247073195,15,2022-02-19 00:00:00+00:00
65782747,8,2014-04-04 00:00:00+00:00
111237598,8,2016-04-06 00:00:00+00:00
37509769,15,2012-12-04 00:00:00+00:00
78817207,9,2014-11-21 00:00:00+00:00
246412818,15,2022-02-07 00:00:00+00:00
46981963,8,2013-05-15 00:00:00+00:00
233222141,15,2021-06-08 00:00:00+00:00
